1	0	1

2	1	7
2	8	11
2	12	13

3	0	1
3	2	2
3	3	3
3	5	8
3	9	9
3	10	13

4	0	1
4	3	6
4	8	11
4	12	12
4	13	16

5	0	2
5	3	3
5	4	5
5	6	6

6	0	2
6	4	15
6	17	19
6	21	32

7	1	4
7	5	5
7	6	7
7	8	8
7	9	10
7	11	12
7	14	17
7	18	18
7	19	20
7	21	21
7	22	23
7	24	25

8	0	6
8	7	8
8	9	9
8	10	12
8	13	13
8	15	16

9	0	0
9	2	2

10	0	1
10	3	3

11	0	0
11	1	2
11	4	4

12	0	0
12	1	3
12	4	5
12	6	7
12	9	9

13	0	0
13	1	2
13	3	3
13	4	5
13	7	7

14	0	0
14	1	2
14	3	4
14	5	5
14	6	9
14	11	11

15	2	4
15	5	6
15	7	8
15	10	10

16	2	4
16	5	8
16	10	10

17	0	0
17	1	2
17	3	4
17	6	6

18	0	0
18	1	2
18	3	4
18	6	6

19	2	4
19	5	6
19	7	8
19	10	10

20	2	4
20	5	7
20	8	8
20	9	10
20	11	13
20	15	15

21	2	4
21	5	6
21	7	8
21	9	11
21	13	13

22	0	0
22	1	2
22	3	4
22	5	5
22	6	7
22	8	9
22	10	10
22	11	12
22	13	14
22	16	16

23	2	4
23	5	6
23	7	8
23	10	10

24	2	4
24	5	6
24	7	8
24	9	9
24	10	11
24	12	13
24	15	15

25	0	0
25	1	2
25	3	3
25	4	5
25	6	6
25	7	8
25	9	9
25	10	11
25	12	12
25	13	14
25	15	16
25	18	19

26	0	0
26	1	1
26	2	4
26	5	6
26	7	7
26	8	9
26	10	12
26	14	14

27	0	0
27	1	1
27	2	3
27	4	6
27	7	8
27	9	9
27	10	11
27	12	14
27	16	16

28	0	0
28	1	1
28	2	3
28	4	6
28	7	8
28	9	9
28	10	11
28	12	14
28	16	16

29	0	0
29	1	1
29	2	2
29	3	4
29	5	6
29	7	7
29	8	9
29	10	10
29	11	12
29	13	15
29	17	17

30	0	0
30	1	1
30	2	3
30	4	5
30	6	6
30	7	8
30	9	9
30	10	12
30	13	14
30	15	15
30	16	17
30	18	20
30	22	22

31	0	0
31	1	1
31	2	3
31	4	5
31	6	6
31	7	8
31	9	10
31	11	11
31	12	14
31	15	16
31	17	17
31	18	19
31	20	22
31	24	24

32	0	0
32	1	1
32	2	3
32	4	5
32	6	6
32	7	8
32	9	10
32	11	11
32	12	14
32	15	16
32	17	17
32	18	19
32	20	22
32	24	24

33	0	0
33	1	1
33	2	3
33	4	4
33	5	6
33	7	8
33	9	11
33	13	13

34	0	3
34	5	8
34	9	9
34	10	13

35	0	0
35	1	2
35	3	4
35	5	8
35	10	12
35	13	13
35	14	17
35	18	19
35	20	20
35	21	22
35	23	24
35	25	25

36	0	0
36	1	2
36	3	4
36	5	6
36	7	7
36	8	12
36	13	13
36	14	17
36	18	18
36	19	21
36	22	22
36	23	24
36	25	25
36	26	26
36	27	27
36	28	28
36	29	30
36	31	31
36	32	36
36	37	37
36	38	41
36	42	43
36	44	45
36	46	47
36	48	49
36	50	51
36	52	52

37	0	0
37	1	1
37	2	3
37	4	4
37	6	6
37	7	7
37	8	8
37	9	9
37	10	11
37	12	12
37	14	14
37	15	16
37	17	18
37	19	19
37	20	20
37	21	22
37	23	24
37	25	25
37	26	26
37	27	28
37	29	30
37	31	31
37	32	33
37	34	35
37	36	36
37	37	37
37	38	38
37	39	39
37	40	41
37	42	42
37	43	43
37	44	45
37	46	46
37	47	47
37	49	50
37	51	51
37	52	53
37	54	54
37	55	56
37	57	57
37	59	59
37	60	61
37	62	63
37	64	66
37	67	68
37	69	69
