1	0	2
1	4	5
1	6	6
1	8	10

2	0	0
2	2	3

3	0	1

4	0	3
4	4	5

5	0	3

16	0	1
16	3	7
16	8	8
16	10	10
16	11	11
16	12	15

17	0	1
17	3	4
17	6	10
17	12	12
17	13	15

18	0	1
18	2	3

19	0	0
19	1	1
19	2	3
19	4	4
19	5	6
19	7	8
19	9	9
19	10	11
19	12	13

20	0	2
20	3	3
20	4	11
20	12	12

21	0	3
21	5	5
21	6	6
21	8	18
21	20	31
21	33	35
21	37	40
21	42	48

22	0	0
22	1	3
22	5	9
22	10	10
22	11	11
22	12	12
22	13	16
22	17	17
22	18	20
22	21	21

23	0	3
23	4	4
23	5	6
23	7	7
23	8	9
23	11	12

25	0	1
25	3	3

26	0	0
26	1	2
26	4	4
26	6	6

27	0	0
27	1	3
27	4	5
27	6	7
27	9	9
27	10	10
27	13	13

28	0	0
28	1	2
28	3	3
28	4	5
28	7	7

29	0	0
29	2	3
29	4	5
29	10	10

30	0	0
30	1	1
30	2	2
30	3	4
30	5	6
30	7	7
30	8	11
30	13	13
30	14	14
30	17	17

31	0	2
31	3	4
31	5	6
31	7	7
31	8	11
31	13	13
31	14	14
31	15	15
31	20	20

32	0	2
32	3	3
32	4	5
32	6	8
32	9	10
32	11	12
32	14	14

33	0	0
33	1	2
33	3	4
33	5	6
33	7	7
33	8	9
33	10	11
33	13	13

34	0	0
34	1	1
34	2	2
34	4	5
34	6	7
34	8	9
34	11	11

35	0	2
35	3	3
35	4	4
35	5	7
35	12	12

36	0	2
36	3	3
36	4	4
36	5	6
36	7	8
36	9	9
36	10	13
36	14	14
36	15	16
36	18	18

37	0	2
37	3	3
37	4	4
37	5	6
37	7	7
37	9	9

38	0	2
38	3	3
38	4	4
38	5	6
38	7	8
38	9	10
38	11	11
38	12	13
38	14	15
38	18	18

39	0	2
39	3	3
39	4	4
39	5	6
39	7	8
39	9	10
39	11	11
39	12	12
39	13	14
39	15	16
39	19	19

40	0	2
40	3	3
40	4	4
40	5	6
40	7	9
40	10	11
40	12	13
40	15	15

41	0	2
41	3	3
41	4	4
41	5	6
41	7	7
41	8	9
41	10	11
41	12	12
41	14	14

42	0	2
42	3	4
42	5	6
42	8	8

43	0	2
43	3	3
43	4	4
43	5	6
43	7	8
43	9	10
43	13	13

44	0	2
44	3	3
44	4	4
44	5	6
44	7	8
44	11	11

45	0	2
45	3	3
45	4	4
45	5	6
45	7	8
45	9	10
45	12	13

46	0	2
46	3	3
46	4	4
46	5	6
46	7	8
46	9	10
46	12	13

47	0	2
