1	0	2
1	4	5
1	6	6
1	8	10

2	0	0
2	1	1
2	2	4

3	0	2

12	0	0
12	1	1
12	2	4
12	6	9
12	10	10
12	11	14

13	0	1
13	3	3
13	4	4
13	5	7
13	9	11
13	12	12
13	13	16

14	0	4
14	5	5
14	6	8
14	9	12

15	0	12
15	14	16
15	18	22
15	24	27
15	29	40

16	0	3
16	4	4
16	5	6
16	7	7
16	8	9
16	11	12

17	0	3
17	4	5
17	7	8

18	0	1
18	3	5

19	0	0
19	2	3
19	5	5

20	0	0
20	1	3
20	4	5
20	6	7
20	9	9

21	0	0
21	1	2
21	3	3
21	4	5
21	7	7

22	0	0
22	1	3
22	5	5

23	0	0
23	1	2
23	3	4
23	6	6

24	0	2
24	3	4
24	5	6
24	7	8
24	10	10

25	0	2
25	3	4
25	5	6
25	8	8

26	0	2
26	3	6
26	8	8

27	0	2
27	3	4
27	6	6

28	0	2
28	4	5
28	6	9
28	10	10
28	11	11
28	12	13
28	14	14
28	15	15
28	16	16
28	17	17
28	19	19

29	0	2
29	3	4
29	5	6
29	7	8
29	10	10

30	0	2
30	3	4
30	5	6
30	8	8

31	0	2
31	3	4
31	5	6
31	8	8

32	0	0
32	2	3
32	4	5
32	7	7

33	0	2
33	4	5
33	6	7
33	8	9
33	11	11

34	0	2
34	3	4
34	5	6
34	7	8
34	9	10
34	12	12

35	0	2
35	3	4
35	5	6
35	7	8
35	10	10

36	0	2
36	3	4
36	5	7
36	8	9
36	10	11
36	13	13

37	0	2
37	3	4
37	5	6
37	8	8

38	0	2
38	3	4
38	5	6
38	7	8
38	9	10
38	12	12

39	0	0
39	1	2
39	3	6
39	8	8

40	0	2
40	3	4
40	6	6

41	0	2
41	3	4
41	5	6
41	8	8

42	0	2
42	4	5
42	6	7
42	8	8
42	9	9
42	10	10
42	11	11
42	12	12
42	13	13
42	14	14
42	16	16

43	0	2
43	3	4
43	5	6
43	7	7
43	9	9

44	0	2
44	3	4
44	5	6
44	8	8

45	0	2
45	3	4
45	5	6
45	8	8

46	0	2
46	3	5
46	6	6
46	7	8
46	9	10
46	11	12
46	13	13
46	14	15
46	16	16
46	17	17
46	18	19
46	20	20
46	21	21
46	22	23
46	24	24
46	25	26
46	27	27
46	28	28
46	29	29
46	30	30
46	31	31
46	32	32
46	35	35

47	0	2
47	3	4
47	5	5
47	6	7
47	9	9

48	0	2
48	3	3
48	4	6
48	7	7
48	8	9
48	11	11

49	0	3
49	4	5
49	6	7
49	8	9
49	11	11

50	0	3
50	4	5
50	6	7
